"Season","Name","Team","wRC+","TTO%","playerid"
"2022","Aaron Judge","NYY","207","50.0%","15640"
"2021","Bryce Harper","PHI","170","44.9%","11579"
"2022","Yordan Alvarez","HOU","185","39.4%","19556"
"2021","Juan Soto","WSN","163","40.8%","20123"
"2022","Paul Goldschmidt","STL","177","39.2%","9218"
"2021","Vladimir Guerrero Jr.","TOR","166","35.0%","19611"
"2022","Mike Trout","LAA","176","46.7%","10155"
"2021","Ronald Acuna Jr.","ATL","157","43.9%","18401"
"2021","Brandon Belt","SFG","157","47.2%","10264"
"2021","Jesse Winker","CIN","147","31.3%","13590"
"2021","Fernando Tatis Jr.","SDP","157","47.1%","19709"
"2021","Yasmani Grandal","CHW","158","51.2%","11368"
"2022","Jose Altuve","HOU","164","30.0%","5417"
"2021","Shohei Ohtani","LAA","151","51.8%","19755"
"2022","Freddie Freeman","LAD","157","29.2%","5361"
"2021","Kyle Schwarber","- - -","145","47.3%","16478"
"2021","Joey Votto","CIN","139","45.0%","4314"
"2021","Nick Castellanos","CIN","139","33.5%","11737"
"2021","Corey Seager","LAD","146","31.8%","13624"
"2021","Aaron Judge","NYY","149","43.0%","15640"
"2021","Trea Turner","- - -","142","27.7%","16252"
"2021","Bryan Reynolds","PIT","141","33.7%","19326"
"2021","Ketel Marte","ARI","140","28.1%","13613"
"2021","Darin Ruf","SFG","143","47.8%","9929"
"2021","Tyler O'Neill","STL","144","44.7%","15711"
"2021","C.J. Cron","COL","126","37.5%","12546"
"2021","Kyle Tucker","HOU","145","30.5%","18345"
"2022","Manny Machado","SDP","152","35.4%","11493"
"2021","George Springer","TOR","140","40.4%","12856"
"2022","Nolan Arenado","STL","151","24.8%","9777"
"2022","Albert Pujols","STL","151","30.5%","1177"
"2021","Austin Riley","ATL","136","38.2%","18360"
"2021","Freddie Freeman","ATL","135","32.1%","5361"
"2021","Buster Posey","SFG","139","35.5%","9166"
"2021","Max Muncy","LAD","139","40.4%","13301"
"2021","Matt Olson","OAK","147","35.7%","14344"
"2021","Brandon Crawford","SFG","138","33.7%","5343"
"2022","Austin Riley","ATL","142","38.0%","18360"
"2022","Juan Soto","- - -","145","38.9%","20123"
"2021","A.J. Pollock","LAD","137","31.0%","9256"
"2021","Paul Goldschmidt","STL","137","34.5%","9218"
"2022","Mookie Betts","LAD","144","30.4%","13611"
"2022","Joc Pederson","SFG","144","38.1%","11899"
"2021","Rafael Devers","BOS","133","36.6%","17350"
"2022","Rafael Devers","BOS","140","31.1%","17350"
"2021","Jose Ramirez","CLE","138","30.7%","13510"
"2021","Cedric Mullins II","BAL","136","31.7%","17929"
"2022","William Contreras","ATL","138","43.4%","20503"
"2022","Eloy Jimenez","CHW","144","35.5%","17484"
"2022","Shohei Ohtani","LAA","142","40.1%","19755"
"2021","Giancarlo Stanton","NYY","137","44.0%","4949"
"2021","Yordan Alvarez","HOU","137","38.1%","19556"
"2022","Bryce Harper","PHI","138","35.4%","11579"
"2021","Brandon Nimmo","NYM","137","36.5%","12927"
"2021","Teoscar Hernandez","TOR","132","36.3%","13066"
"2022","Nathaniel Lowe","TEX","143","34.4%","19566"
"2021","Xander Bogaerts","BOS","130","32.8%","12161"
"2021","Marcus Semien","TOR","131","35.5%","12533"
"2022","Michael Harris II","ATL","136","33.3%","25931"
"2022","Julio Rodriguez","SEA","146","38.0%","23697"
"2022","Yandy Diaz","TBR","146","26.3%","16578"
"2022","Pete Alonso","NYM","143","34.3%","19251"
"2021","Mookie Betts","LAD","130","32.2%","13611"
"2022","Jeff McNeil","NYM","143","18.7%","15362"
"2021","Rhys Hoskins","PHI","127","41.1%","16472"
"2021","Starling Marte","- - -","134","29.3%","9241"
"2022","Andres Gimenez","CLE","140","29.3%","19950"
"2021","J.D. Martinez","BOS","127","36.8%","6184"
"2021","Will Smith","LAD","130","36.7%","19197"
"2021","Carlos Correa","HOU","133","33.9%","14162"
"2021","Brandon Lowe","TBR","137","44.6%","18882"
"2021","Yuli Gurriel","HOU","132","23.5%","19198"
"2022","Xander Bogaerts","BOS","134","30.1%","12161"
"2022","Jose Ramirez","CLE","139","26.3%","13510"
"2021","Jonathan India","CIN","120","36.9%","21523"
"2021","Pete Alonso","NYM","133","35.2%","19251"
"2022","Carlos Correa","MIN","140","34.6%","14162"
"2022","Taylor Ward","LAA","137","36.0%","17548"
